trial,hypothesis,x,lambd,df,sigma,p_value,log_p,detected,evidence
0,genuine,1418.404052734375,1541.4263916015625,634,31.749784469604492,4.7124303049331357e-23,-51.4092533756024,True,-1418.404052734375
0,clean,1716.14697265625,1129.220703125,634,37.09477615356445,0.270470175021262,-1.3075934454759726,False,-1716.14697265625
0,forged,1318.6627197265625,956.8943481445312,634,40.2967643737793,3.0746169121417486e-05,-10.389745152889974,True,-1318.6627197265625
1,genuine,1006.5226440429688,1383.546875,634,33.51237869262695,5.45067676949305e-49,-111.1309297778539,True,-1006.5226440429688
1,clean,1572.263916015625,1052.2685546875,634,38.42721176147461,0.05955437436742677,-2.820865528826998,False,-1572.263916015625
1,forged,1202.1064453125,866.9309692382812,634,42.33600997924805,2.01556397956992e-06,-13.114611511122277,True,-1202.1064453125
2,genuine,922.3438720703125,1100.29150390625,634,37.57926559448242,1.7260036011055399e-37,-84.64983976173272,True,-922.3438720703125
2,clean,1483.69970703125,885.1629028320312,634,41.89773941040039,0.3079496260816955,-1.1778190610674042,False,-1483.69970703125
2,forged,1523.6185302734375,1199.071533203125,634,35.998104095458984,1.5262692284097636e-05,-11.090099120140135,True,-1523.6185302734375
3,genuine,982.7705078125,1251.712890625,634,35.23301696777344,6.694586010767741e-42,-94.80727476410229,True,-982.7705078125
3,clean,1660.934326171875,955.9736328125,634,40.316165924072266,0.8400745636125171,-0.17426462487888675,False,-1660.934326171875
3,forged,1493.708984375,1150.4180908203125,634,36.75143814086914,3.5389274161706605e-05,-10.249101773517523,True,-1493.708984375
4,genuine,1359.939208984375,1502.3956298828125,634,32.15955352783203,6.439786182149102e-25,-55.70213198681571,True,-1359.939208984375
4,clean,1507.92138671875,856.55419921875,634,42.591678619384766,0.604836042998114,-0.5027978609882305,False,-1507.92138671875
4,forged,1558.333740234375,1021.6570434570312,634,38.998653411865234,0.09008072354710757,-2.4070490823505066,False,-1558.333740234375
5,genuine,889.1171264648438,1119.9840087890625,634,37.2474250793457,1.1992009827430788e-42,-96.5269184184451,True,-889.1171264648438
5,clean,1802.162109375,1106.220458984375,634,37.478424072265625,0.79531812303982,-0.22901308960130312,False,-1802.162109375
5,forged,1250.8291015625,924.7268676757812,634,40.99165344238281,1.792286897173805e-06,-13.23201815735668,True,-1250.8291015625
